id,username,date,text,hashtags,geo
901248007152189440,nickbchambers,2017-08-26 01:00:43+00:00,As the #Harvey #Hurricane starts to show its self in #Houston. . . #rain #raining #rainyday… https://www.instagram.com/p/BYPN_6Bj4QC/,#Harvey #Hurricane #Houston #rain #raining #rainyday,
901245952970895360,Johncbrand,2017-08-26 00:52:34+00:00,#texas #hurricane prep with #whataburger @Sylvan Beach Park https://www.instagram.com/p/BYPNEHuhzPl/,#texas #hurricane #whataburger,
901245686976479234,AmeritexMovers,2017-08-26 00:51:30+00:00,Hurricane Harvey is here and The Goat and MVP have found a solution to have fun and keep safe at… https://www.instagram.com/p/BYPFwD8HNKg/,,
901244951727558656,JonAgCM,2017-08-26 00:48:35+00:00,You Cooking In The Hurricane Chef?! You Buyin' I'm Fryin... ... Just #FollowTheSmell TO… https://www.instagram.com/p/BYPMnNrBNZ8/,#FollowTheSmell,
901241993711452161,painmuzikstudio,2017-08-26 00:36:50+00:00,"Damn #hurricane #harvey2017 got me on a diet! Lol #food #staysafe @Houston, Texas https://www.instagram.com/p/BYPLRHNhjrU/",#hurricane #harvey2017 #food #staysafe,
901240540838187008,Riceboxed,2017-08-26 00:31:03+00:00,We're opened for normal business hours this this Friday evening during the landfall of hurricane… https://www.instagram.com/p/BYPKk9ihW9X/,,
901239520754053122,mikehilife,2017-08-26 00:27:00+00:00,"This water better give me superpowers to push away Hurricane Harvey @Houston, Texas https://www.instagram.com/p/BYPKI3gnFlH/",,
901239187197890561,RWCommerceLLC,2017-08-26 00:25:41+00:00,"Hurricane Harvey episode: My dad, who got stuck on the roof for Hurricane Katrina & survived… https://www.instagram.com/p/BYPErc-BI1y/",,
901238377386844162,Team_Bens,2017-08-26 00:22:28+00:00,Hurricane Harvey #houstonweather #texasproblems #wheresbatman @… https://www.instagram.com/p/BYPJnsnhpWBke6dAzdUJEaG0xtGUXX81WfuI640/ …,#houstonweather #texasproblems #wheresbatman,
901238327629692928,techgeek311,2017-08-26 00:22:16+00:00,"Hurricane Harvey hits Texas #hurricane #texas #tropicalstorm @Houston, Texas https://www.instagram.com/p/BYPJlTfALfS/",#hurricane #texas #tropicalstorm,
901237992362319876,channah0709,2017-08-26 00:20:56+00:00,When a hurricane is coming and you can't go anywhere #bored #af #harvey #harveyhurricane… https://www.instagram.com/p/BYPJcRKAw2Q/,#bored #af #harvey #harveyhurricane,
